event_no,promotion_type,issue_date
GC528917581636,"Free Insurance","2022-11-04 00:00:00"
GC522941643557,"Free Insurance","2022-11-04 00:00:00"
GC529491478688,"Free Insurance","2022-11-04 00:00:00"
GC526446368876,"Free Insurance","2022-11-04 00:00:00"
GC525521678125,"Free Insurance","2022-11-04 00:00:00"
GC528796191362,"Free Insurance","2022-11-04 00:00:00"
GC529235948477,"Free Insurance","2022-11-04 00:00:00"
GC522967696276,"Free Insurance","2022-11-04 00:00:00"
GC524335518997,"Free Insurance","2022-11-04 00:00:00"
GC526544584359,"Free Insurance","2022-11-04 00:00:00"
GC527212128248,,"2022-11-04 00:00:00"
GC526736449528,,"2022-11-04 00:00:00"
GC524484933359,,"2022-11-04 00:00:00"
GC528758298497,,"2022-11-04 00:00:00"
GC522445567492,,"2022-11-04 00:00:00"
GC526766329779,,"2022-11-04 00:00:00"
GC529822319465,,"2022-11-04 00:00:00"
GC524428233919,,"2022-11-04 00:00:00"
GC527458877277,,"2022-11-04 00:00:00"
GC522757464652,,"2022-11-04 00:00:00"
GC52368786961,,"2022-10-25 00:00:00"
GC523162566819,"Free Insurance","2022-10-25 00:00:00"
GC527522415974,"Free Insurance","2022-10-25 00:00:00"
GC524128211415,"Free Insurance","2022-10-25 00:00:00"
GC521231153952,"Free Insurance","2022-10-25 00:00:00"
GC523737159744,"Free Insurance","2022-10-25 00:00:00"
GC528823775149,"Free Insurance","2022-10-25 00:00:00"
GC521925773678,"Free Insurance","2022-10-25 00:00:00"
GC521167358511,"Free Insurance","2022-10-25 00:00:00"
GC528673521675,"Free Insurance","2022-10-25 00:00:00"
GC524188828133,"Free Insurance","2022-10-25 00:00:00"
GC528521167655,,"2022-10-25 00:00:00"
GC527617913278,,"2022-10-25 00:00:00"
GC528938265567,,"2022-10-25 00:00:00"
GC524941487523,,"2022-10-25 00:00:00"
GC526847763565,,"2022-10-25 00:00:00"
GC527799175716,,"2022-10-25 00:00:00"
GC529967196277,,"2022-10-25 00:00:00"
GC527925235154,,"2022-10-25 00:00:00"
GC528282926873,,"2022-10-25 00:00:00"
GC528694321777,,"2022-10-25 00:00:00"
