event_no,promotion_type,issue_date
GC523289121585,"Free Insurance","2022-11-04 00:00:00"
GC528541682794,"Free Insurance","2022-11-04 00:00:00"
GC528375237333,"Free Insurance","2022-11-04 00:00:00"
GC529246156727,"Free Insurance","2022-11-04 00:00:00"
GC523718648747,"Free Insurance","2022-11-04 00:00:00"
GC521773964912,"Free Insurance","2022-11-04 00:00:00"
GC524923495355,"Free Insurance","2022-11-04 00:00:00"
GC527234723551,"Free Insurance","2022-11-04 00:00:00"
GC522818386118,"Free Insurance","2022-11-04 00:00:00"
GC526877547495,"Free Insurance","2022-11-04 00:00:00"
GC526783795456,,"2022-11-04 00:00:00"
GC521714763289,,"2022-11-04 00:00:00"
GC529135854295,,"2022-11-04 00:00:00"
GC528555334648,,"2022-11-04 00:00:00"
GC524814221743,,"2022-11-04 00:00:00"
GC522535576481,,"2022-11-04 00:00:00"
GC526397113414,,"2022-11-04 00:00:00"
GC524645876616,,"2022-11-04 00:00:00"
GC522352249149,,"2022-11-04 00:00:00"
GC527798681554,,"2022-11-04 00:00:00"
GC52164428719,,"2022-10-25 00:00:00"
GC521872368414,"Free Insurance","2022-10-25 00:00:00"
GC527676852367,"Free Insurance","2022-10-25 00:00:00"
GC521223668193,"Free Insurance","2022-10-25 00:00:00"
GC525385427168,"Free Insurance","2022-10-25 00:00:00"
GC529983782261,"Free Insurance","2022-10-25 00:00:00"
GC522127446696,"Free Insurance","2022-10-25 00:00:00"
GC526729226957,"Free Insurance","2022-10-25 00:00:00"
GC521489454882,"Free Insurance","2022-10-25 00:00:00"
GC527892663595,"Free Insurance","2022-10-25 00:00:00"
GC523951586862,"Free Insurance","2022-10-25 00:00:00"
GC523843959922,,"2022-10-25 00:00:00"
GC524484729218,,"2022-10-25 00:00:00"
GC523146288897,,"2022-10-25 00:00:00"
GC524871592819,,"2022-10-25 00:00:00"
GC523781149597,,"2022-10-25 00:00:00"
GC523762195936,,"2022-10-25 00:00:00"
GC524613455538,,"2022-10-25 00:00:00"
GC525227827946,,"2022-10-25 00:00:00"
GC521247822357,,"2022-10-25 00:00:00"
GC527369876726,,"2022-10-25 00:00:00"
